X,Y,f_code,iko,ita,nam,use,zv3,soc,icon_url
-15.6541662216187,11.8947219848633,GB005,GGOV,OXB,BISSAU/OSWALDO VIEIRA INTL,"22","39",GNB,./0.png
-15.1805553436279,11.2880554199219,GB005,GGCF,UNK,CUFAR,"999","20",GNB,./0.png
